iter	Passed	Remaining
406	6206	9042
407	6219	9024
408	6236	9011
409	6253	8998
410	6264	8978
411	6278	8960
412	6295	8947
413	6313	8936
414	6330	8923
415	6346	8908
416	6361	8893
417	6374	8875
418	6388	8858
419	6403	8843
420	6419	8828
421	6433	8811
422	6448	8795
423	6463	8781
424	6478	8764
425	6491	8747
426	6505	8730
427	6523	8717
428	6539	8704
429	6554	8688
430	6566	8669
431	6580	8652
432	6595	8636
433	6610	8621
434	6625	8606
435	6641	8591
436	6657	8576
437	6671	8560
438	6685	8543
439	6700	8527
440	6716	8513
441	6729	8496
442	6744	8479
443	6761	8467
444	6775	8450
445	6790	8434
446	6804	8418
447	6821	8404
448	6834	8387
449	6848	8370
450	6861	8352
451	6877	8337
452	6891	8322
453	6908	8308
454	6924	8294
455	6939	8278
456	6952	8261
457	6967	8244
458	6982	8229
459	6999	8216
460	7012	8199
461	7026	8182
462	7041	8166
463	7052	8147
464	7067	8131
465	7081	8115
466	7095	8098
467	7113	8086
468	7127	8069
469	7140	8052
470	7152	8033
471	7168	8018
472	7180	8000
473	7195	7985
474	7208	7966
475	7222	7950
476	7237	7935
477	7252	7920
478	7269	7906
479	7283	7890
480	7299	7876
481	7315	7862
482	7335	7852
483	7350	7836
484	7367	7822
485	7386	7811
486	7401	7796
487	7416	7781
488	7431	7765
489	7446	7750
490	7460	7734
491	7477	7720
492	7490	7703
493	7504	7687
494	7519	7670
495	7533	7654
496	7546	7637
497	7560	7620
498	7573	7604
499	7587	7587
500	7600	7570
501	7615	7554
502	7630	7539
503	7643	7522
504	7658	7506
505	7674	7492
506	7689	7476
507	7703	7461
508	7718	7445
509	7735	7431
510	7749	7415
511	7768	7404
512	7784	7390
513	7800	7375
514	7815	7359
515	7834	7348
516	7848	7332
517	7863	7316
518	7879	7302
519	7894	7286
520	7909	7271
521	7926	7258
522	7941	7243
523	7954	7226
524	7970	7210
525	7985	7195
526	7996	7176
527	8010	7161
528	8024	7144
529	8038	7128
530	8050	7110
531	8068	7097
532	8083	7082
533	8102	7070
534	8119	7057
535	8136	7043
536	8151	7027
537	8166	7012
538	8181	6997
539	8197	6983
540	8210	6965
541	8225	6950
542	8240	6935
543	8254	6919
544	8270	6904
545	8285	6889
546	8299	6873
547	8315	6858
548	8329	6842
549	8342	6825
550	8356	6809
551	8372	6794
552	8388	6780
553	8404	6766
554	8420	6751
555	8433	6734
556	8446	6717
557	8460	6701
558	8475	6686
559	8489	6670
560	8503	6654
561	8519	6639
562	8532	6623
563	8546	6606
564	8564	6593
565	8579	6578
566	8593	6562
567	8610	6549
568	8628	6535
569	8642	6519
570	8656	6503
571	8671	6488
572	8685	6472
573	8702	6458
574	8718	6444
575	8735	6429
576	8752	6416
577	8769	6402
578	8784	6387
579	8800	6372
580	8815	6357
581	8828	6340
582	8841	6324
583	8859	6310
584	8872	6294
585	8885	6277
586	8897	6259
587	8912	6244
588	8925	6228
589	8941	6213
590	8956	6198
591	8969	6181
592	8984	6166
593	9001	6152
594	9015	6136
595	9031	6122
596	9045	6105
597	9060	6090
598	9074	6074
599	9089	6059
600	9101	6042
601	9120	6029
602	9134	6013
603	9148	5997
604	9161	5981
605	9175	5965
606	9191	5951
607	9208	5936
608	9223	5921
609	9236	5904
610	9249	5888
611	9264	5873
612	9278	5857
613	9292	5841
614	9307	5826
615	9323	5812
616	9337	5796
617	9353	5781
618	9369	5767
619	9385	5752
620	9402	5738
621	9417	5723
622	9432	5707
623	9448	5693
624	9464	5678
625	9479	5663
626	9494	5648
627	9508	5632
628	9524	5617
629	9544	5605
630	9556	5588
631	9576	5576
632	9595	5563
633	9610	5547
634	9626	5533
635	9642	5518
636	9655	5502
637	9670	5487
638	9684	5471
639	9700	5456
640	9715	5441
641	9729	5425
642	9743	5409
643	9758	5394
644	9771	5378
645	9786	5362
646	9799	5346
647	9814	5331
648	9828	5315
649	9844	5300
650	9858	5285
651	9873	5270
652	9888	5254
653	9903	5239
654	9919	5224
655	9932	5208
656	9947	5193
657	9960	5177
658	9973	5160
659	9988	5145
660	10003	5130
661	10016	5114
662	10032	5099
663	10047	5084
664	10064	5070
665	10080	5055
666	10095	5040
667	10111	5025
668	10124	5009
669	10138	4993
670	10152	4977
671	10170	4964
672	10185	4948
673	10197	4932
674	10213	4917
675	10229	4902
676	10244	4887
677	10258	4872
678	10272	4856
679	10285	4840
680	10300	4825
681	10314	4809
682	10330	4794
683	10344	4778
684	10360	4764
685	10375	4748
686	10393	4735
687	10408	4720
688	10423	4704
689	10439	4690
690	10453	4674
691	10470	4660
692	10486	4645
693	10501	4630
694	10522	4617
695	10540	4603
696	10557	4589
697	10575	4575
698	10591	4560
699	10605	4545
700	10623	4531
701	10640	4516
702	10655	4501
703	10672	4487
704	10689	4472
705	10703	4457
706	10717	4441
707	10733	4426
708	10747	4411
709	10765	4397
710	10780	4381
711	10796	4367
712	10810	4351
713	10826	4336
714	10840	4321
715	10855	4305
716	10869	4290
717	10885	4275
718	10900	4260
719	10914	4244
720	10933	4230
721	10947	4215
722	10963	4200
723	10975	4183
724	10991	4169
725	11004	4153
726	11019	4137
727	11034	4122
728	11047	4106
729	11062	4091
730	11079	4076
731	11093	4061
732	11107	4046
733	11122	4030
734	11137	4015
735	11149	3999
736	11165	3984
737	11180	3969
738	11195	3953
739	11210	3938
740	11226	3924
741	11241	3908
742	11256	3893
743	11275	3879
744	11290	3864
745	11303	3848
746	11319	3833
747	11333	3818
748	11347	3802
749	11360	3786
750	11374	3771
751	11389	3756
752	11404	3740
753	11421	3726
754	11436	3711
755	11450	3695
756	11464	3680
757	11478	3664
758	11492	3649
759	11508	3634
760	11526	3620
761	11543	3605
762	11560	3590
763	11573	3575
764	11588	3559
765	11603	3544
766	11618	3529
767	11636	3515
768	11651	3500
769	11665	3484
770	11680	3469
771	11695	3454
772	11712	3439
773	11729	3424
774	11743	3409
775	11757	3393
776	11774	3379
777	11787	3363
778	11802	3348
779	11816	3332
780	11831	3317
781	11847	3302
782	11864	3288
783	11879	3272
784	11895	3257
785	11910	3242
786	11926	3227
787	11940	3212
788	11953	3196
789	11970	3181
790	11984	3166
791	11999	3151
792	12013	3136
793	12027	3120
794	12051	3107
795	12071	3093
796	12084	3078
797	12100	3062
798	12113	3047
799	12126	3031
800	12142	3016
801	12155	3001
802	12170	2985
803	12184	2970
804	12201	2955
805	12215	2940
806	12228	2924
807	12244	2909
808	12261	2894
809	12278	2880
810	12293	2864
811	12309	2849
812	12321	2834
813	12337	2819
814	12350	2803
815	12364	2788
816	12379	2772
817	12392	2757
818	12406	2741
819	12420	2726
820	12435	2711
821	12450	2696
822	12466	2681
823	12484	2666
824	12498	2651
825	12514	2636
826	12528	2620
827	12543	2605
828	12557	2590
829	12571	2574
830	12584	2559
831	12602	2544
832	12616	2529
833	12631	2514
834	12647	2499
835	12663	2484
836	12678	2469
837	12692	2453
838	12704	2437
839	12717	2422
840	12732	2407
841	12745	2391
842	12761	2376
843	12776	2361
844	12793	2346
845	12805	2330
846	12819	2315
847	12833	2300
848	12845	2284
849	12863	2269
850	12880	2255
851	12894	2239
852	12909	2224
853	12926	2209
854	12941	2194
855	12958	2179
856	12974	2165
857	12990	2149
858	13004	2134
859	13017	2119
860	13032	2104
861	13047	2088
862	13061	2073
863	13079	2058
864	13093	2043
865	13108	2028
866	13123	2013
867	13136	1997
868	13154	1982
869	13169	1967
870	13184	1952
871	13198	1937
872	13213	1922
873	13230	1907
874	13244	1892
875	13258	1876
876	13272	1861
877	13287	1846
878	13302	1831
879	13315	1815
880	13328	1800
881	13353	1786
882	13370	1771
883	13385	1756
884	13401	1741
885	13418	1726
886	13435	1711
887	13450	1696
888	13462	1680
889	13479	1666
890	13493	1650
891	13508	1635
892	13523	1620
893	13537	1605
894	13554	1590
895	13571	1575
896	13588	1560
897	13602	1545
898	13621	1530
899	13637	1515
900	13652	1500
901	13666	1484
902	13683	1469
903	13698	1454
904	13712	1439
905	13728	1424
906	13742	1409
907	13758	1394
908	13772	1378
909	13787	1363
910	13801	1348
911	13816	1333
912	13834	1318
913	13847	1302
914	13862	1287
915	13878	1272
916	13894	1257
917	13908	1242
918	13923	1227
919	13937	1211
920	13951	1196
921	13965	1181
922	13977	1166
923	13992	1150
924	14009	1135
925	14026	1120
926	14044	1105
927	14059	1090
928	14074	1075
929	14090	1060
930	14105	1045
931	14120	1030
932	14135	1015
933	14149	999
934	14164	984
935	14177	969
936	14192	954
937	14207	939
938	14224	924
939	14241	909
940	14254	893
941	14270	878
942	14285	863
943	14299	848
944	14312	833
945	14327	817
946	14342	802
947	14355	787
948	14374	772
949	14390	757
950	14407	742
