iter	MultiClass
236	0.8967246874
237	0.8966551008
238	0.8965437219
239	0.8964681278
240	0.8964152854
241	0.8963493569
242	0.8962790114
243	0.8962234504
244	0.8961552394
245	0.8960722401
246	0.8960397768
247	0.8959816511
248	0.8958944763
249	0.8958403079
250	0.8957937615
251	0.8957388892
252	0.8956807456
253	0.8956071739
254	0.8955471615
255	0.895490364
256	0.8954418222
257	0.8953694281
258	0.8952940725
259	0.8952236182
260	0.8951553626
261	0.8950971718
262	0.8950269174
263	0.8949314648
264	0.8948789583
265	0.8948176238
266	0.8947285788
267	0.8946790412
268	0.8946360848
269	0.8945687683
270	0.8945192442
271	0.8944556292
272	0.8944186673
273	0.894353834
274	0.8942987565
275	0.894221815
276	0.8941897686
277	0.8941122991
278	0.8940419233
279	0.894006609
280	0.8939188652
281	0.8938455397
282	0.8938086382
283	0.8937640094
284	0.8936723408
285	0.8936162248
286	0.8935533432
287	0.8934493156
288	0.8933859412
289	0.8933443202
290	0.8932673347
291	0.8931953233
292	0.8931404554
293	0.8930691951
294	0.8929979952
295	0.8929444013
296	0.8928695316
297	0.8928015383
298	0.892751999
299	0.8926704395
300	0.8926032626
301	0.8925623145
302	0.8925240718
303	0.8924746566
304	0.8923873035
305	0.8923142334
306	0.8922387804
307	0.8921871543
308	0.8921283263
309	0.8920589105
310	0.8920080941
311	0.8919645826
312	0.8919246531
313	0.8918763019
314	0.8918150863
315	0.8917785845
316	0.8917577178
317	0.8917163181
318	0.8916471581
319	0.8915945862
320	0.8915270207
321	0.8914901131
322	0.8913847818
323	0.8913303542
324	0.8912899116
325	0.8912505727
326	0.8911586814
327	0.8911054482
328	0.8910437349
329	0.8909719205
330	0.8909288313
331	0.8908878353
332	0.8908434315
333	0.8907403065
334	0.8906968326
335	0.8906122072
336	0.8905367759
337	0.8905034186
338	0.8904287369
339	0.890369275
340	0.8903081799
341	0.890243589
342	0.8902070779
343	0.890153446
344	0.8901169894
345	0.8900419411
346	0.8899605634
347	0.8899304449
348	0.8898602368
349	0.8898163889
350	0.8897559624
351	0.8896751716
352	0.8896297927
353	0.8895796868
354	0.8895291981
355	0.889485378
356	0.8894312528
357	0.8893810975
358	0.8892922686
359	0.8892448435
360	0.8891857902
361	0.8891392148
362	0.8890486936
363	0.8889863657
364	0.8889375409
365	0.8888619687
366	0.8888161828
367	0.8887557367
368	0.8886946612
369	0.8886500937
370	0.8885991464
371	0.8885527931
372	0.8884746806
373	0.8884253228
374	0.8883658508
375	0.8882993957
376	0.8882378472
377	0.8881607877
378	0.8881042084
379	0.8880565873
380	0.8879875375
381	0.8879177571
382	0.8878635628
383	0.8878248476
384	0.8877896988
385	0.8877335446
386	0.8876645734
387	0.8876295549
388	0.8875802374
389	0.8875444977
390	0.8874803836
391	0.8874365439
392	0.887344665
393	0.8872758055
394	0.887211927
395	0.8871747684
396	0.8871037232
397	0.8870632678
398	0.8870043401
399	0.886973644
400	0.8869115166
401	0.8868437884
402	0.8867888779
403	0.8867619538
404	0.8867246313
405	0.8866736628
406	0.8866224139
407	0.886589133
408	0.8865213834
409	0.886476507
410	0.8864330897
411	0.8863871238
412	0.8863473352
413	0.8862794748
414	0.8862429718
415	0.8861927627
416	0.8861517258
417	0.8861123414
418	0.8860437127
419	0.8859975824
420	0.8859419206
421	0.8858627597
422	0.8858106527
423	0.8857442485
424	0.8856998331
425	0.8856545513
426	0.885611634
427	0.8855632274
428	0.8855151566
429	0.8854630716
430	0.8854354359
431	0.8853908237
432	0.8853342506
433	0.8852688537
434	0.8852044333
435	0.8851691938
436	0.8851191292
437	0.8850684417
438	0.8850050093
439	0.8849366035
440	0.8849025786
441	0.8848681318
442	0.8848178028
443	0.8847867252
444	0.8847251686
445	0.8846584698
446	0.8846062334
447	0.8845669475
448	0.8845243438
449	0.8844800195
450	0.8844263257
451	0.8843848297
452	0.8843350765
453	0.8842884456
454	0.884236043
455	0.8841973813
456	0.8841221945
457	0.8840732652
458	0.8840206819
459	0.8839502128
460	0.8839066408
461	0.8838174614
462	0.883776664
463	0.8837546658
464	0.8837153527
465	0.8836654997
466	0.8836117709
467	0.8835598431
468	0.8834859812
469	0.8834171685
470	0.8833775738
471	0.8833325307
472	0.8832951789
473	0.8832425372
474	0.8832045524
475	0.883169783
476	0.8831130174
477	0.8830543636
478	0.8830026885
479	0.8829643176
480	0.8829172246
481	0.8828744464
482	0.8828206129
483	0.8827636241
484	0.8827197583
485	0.8826624667
486	0.882608653
487	0.8825664877
488	0.8825083028
489	0.8824440798
490	0.8823789885
491	0.8823075097
492	0.8822578201
493	0.8822223244
494	0.8821632545
495	0.8821087243
496	0.8820623973
497	0.8820113747
498	0.8819286096
499	0.8818748811
500	0.8818327734
501	0.8817655545
502	0.8817192038
503	0.8816746709
504	0.8816267257
505	0.881570682
506	0.8815385696
507	0.8814884369
508	0.881441156
509	0.8814067764
510	0.8813471713
511	0.8812705201
512	0.8812337853
513	0.881184338
514	0.8811367409
515	0.8810754444
516	0.8810454997
517	0.8810023472
518	0.8809425592
519	0.8809062687
520	0.8808440262
521	0.8807898325
522	0.8807231439
523	0.8806686184
524	0.8806308021
525	0.8805909964
526	0.8805663393
527	0.8805217436
528	0.8804597639
529	0.8804013248
530	0.8803392674
531	0.8802924625
532	0.8802592696
533	0.8802230133
534	0.880177094
535	0.8801263504
536	0.880084496
537	0.8800403776
538	0.8800119624
539	0.8799711512
540	0.8799261128
541	0.8798638588
542	0.879817516
543	0.8797783607
544	0.8797156833
545	0.8796869498
546	0.8796517454
547	0.8796021148
548	0.8795466538
549	0.87949716
550	0.8794542178
551	0.8794121911
552	0.8793729548
553	0.8793259456
554	0.8792663522
555	0.8792191628
556	0.8791653069
557	0.8790875523
558	0.8790348921
559	0.8790122343
560	0.8789592687
561	0.878922068
562	0.8788637394
563	0.8788243228
564	0.878780335
565	0.878722034
566	0.8786950609
567	0.8786565982
568	0.8786158563
569	0.8785723066
570	0.8785205065
571	0.8784721678
572	0.8784149628
573	0.8783589171
574	0.8782987869
575	0.8782488304
576	0.878187949
577	0.878153608
578	0.8781225217
579	0.8780885821
580	0.878064523
581	0.8780438811
582	0.8779990157
583	0.8779662916
584	0.8779087602
585	0.877847662
586	0.8778202154
587	0.8777699025
588	0.8777329236
589	0.8776803292
590	0.8776449314
591	0.877598261
592	0.8775536981
593	0.8775047379
594	0.877448859
595	0.8774190383
596	0.8773757216
597	0.8773151299
598	0.8772540088
599	0.8772204032
600	0.8771539583
601	0.8771108681
602	0.8770771921
603	0.8770273606
604	0.8770014128
605	0.876941498
606	0.8769031774
607	0.876865949
608	0.8768187963
609	0.8767833999
610	0.8767513692
611	0.8767038847
612	0.8766778667
613	0.8766283992
614	0.8765859807
615	0.8765390577
616	0.8765219324
617	0.8764839101
618	0.8764497781
619	0.8764018749
620	0.8763594951
621	0.8763102144
622	0.876237911
623	0.8762066446
624	0.8761535421
625	0.8761139703
626	0.8760776732
627	0.8760110162
628	0.8759852253
629	0.8759263336
630	0.8758807977
631	0.8758183311
632	0.8757656583
633	0.8757208357
634	0.8756850574
635	0.8756500682
636	0.8756222274
637	0.875575752
638	0.8755185229
639	0.8754340446
640	0.8753933325
641	0.8753474234
642	0.87530336
643	0.8752482524
644	0.8752203987
645	0.8751568768
646	0.8751170805
647	0.8750733178
648	0.8750219608
649	0.8749801875
650	0.8749470722
651	0.8748902702
652	0.8748667724
653	0.8748115582
654	0.8747601179
655	0.8747315447
656	0.8747109198
657	0.8746672777
658	0.8746311518
659	0.8745881961
660	0.8745477678
661	0.8744829223
662	0.8744393823
663	0.8744062006
664	0.8743706183
665	0.8743142384
666	0.8742721247
667	0.874219948
668	0.8741682858
669	0.8741400426
670	0.874112023
671	0.8740685053
672	0.8740415293
673	0.8740033485
674	0.8739542764
675	0.8739087405
676	0.8738690794
677	0.8738334518
678	0.8737985989
679	0.8737587522
680	0.87372638
681	0.8736888269
682	0.8736311385
683	0.8735826866
684	0.8735412677
685	0.8735184287
686	0.8734430087
687	0.8733999432
688	0.8733755358
689	0.8733410128
690	0.8732994571
691	0.8732576642
692	0.8732140761
693	0.8731847108
694	0.8731348007
695	0.8731124379
696	0.8730631849
697	0.873008695
698	0.8729784787
699	0.8729406804
700	0.8728710621
701	0.8728171395
702	0.8727642007
703	0.8727085644
704	0.8726690104
705	0.8726161155
706	0.8725755112
707	0.8725416968
708	0.8725165467
709	0.8724520508
710	0.8724133962
711	0.8723707643
712	0.8723223811
713	0.8722932225
714	0.8722587593
715	0.8722339153
716	0.8721962801
717	0.8721489126
718	0.8721151863
719	0.8720746143
720	0.8720125447
721	0.8719499935
722	0.8719196235
723	0.8718795425
724	0.8718272747
725	0.8717904229
726	0.871761395
727	0.8717098562
728	0.8716605821
729	0.8716313247
730	0.871581955
731	0.8715442485
732	0.8715083488
733	0.8714746248
734	0.8714473783
735	0.8713937532
736	0.8713500228
737	0.8712900224
738	0.8712388373
739	0.871188834
740	0.8711497467
741	0.871089342
742	0.8710439974
743	0.8709770689
744	0.8709411655
745	0.8708944252
746	0.8708527929
747	0.8708075069
748	0.8707861405
749	0.8707511319
750	0.8707171125
751	0.870681807
752	0.8706583758
753	0.8706263358
754	0.8705736023
755	0.8705316215
756	0.8704848233
757	0.8704725151
758	0.8704491268
759	0.8704011392
760	0.8703390052
761	0.8702944101
762	0.870262661
763	0.8702305832
764	0.8701800864
765	0.8701262172
766	0.8700850923
767	0.8700622764
768	0.8700206934
769	0.8699871658
770	0.8699367512
771	0.8698973678
772	0.8698585177
773	0.8698056692
774	0.8697684844
775	0.8697357316
776	0.8696990033
777	0.8696608464
778	0.8696188496
779	0.869585602
780	0.8695289276
781	0.8694801338
782	0.8694362439
783	0.8693983576
784	0.8693528529
785	0.8693057491
786	0.8692687743
787	0.8692139937
788	0.8691733141
789	0.8691336375
790	0.8690867308
791	0.869058565
792	0.8690272445
793	0.8689926093
794	0.8689720652
795	0.8689373417
796	0.8689076125
797	0.8688934854
798	0.8688528219
799	0.8688259259
800	0.8687891639
801	0.8687657539
802	0.8687329289
803	0.8687116148
804	0.8686689984
805	0.8686372497
806	0.8685864107
807	0.8685301624
808	0.8684960127
809	0.8684574529
810	0.8684116115
811	0.8683900602
812	0.8683577348
813	0.8683239485
814	0.8682535323
815	0.8682192174
816	0.8681906919
817	0.8681630241
818	0.8681282949
819	0.8680815554
820	0.8680584908
821	0.8680174926
822	0.8679785563
823	0.8679446679
824	0.8679197375
825	0.8678853267
826	0.8678509676
827	0.8678040239
828	0.8677521681
829	0.8677005803
830	0.8676617541
831	0.8675997747
832	0.8675656365
833	0.8675346977
834	0.8674945642
835	0.8674165837
836	0.8673751264
837	0.8673510656
838	0.8673116381
839	0.8672520677
840	0.8672037234
841	0.8671798866
842	0.8671561064
843	0.8671230199
844	0.8670915679
845	0.8670537387
846	0.8670119764
847	0.8669912183
848	0.8669508761
849	0.8669047631
850	0.866867125
851	0.8668122428
852	0.8667719753
853	0.8667225153
854	0.8666870259
855	0.866648429
856	0.8666250224
857	0.8665865564
858	0.8665573331
859	0.8665386642
860	0.8665092602
861	0.8664705307
862	0.8664367631
863	0.8663887729
864	0.8663643725
865	0.8663253869
866	0.8662958251
867	0.8662639806
868	0.8662248348
869	0.8661886742
870	0.8661692889
871	0.8661473768
872	0.8661314395
873	0.8660775065
874	0.8660484413
875	0.8660232244
876	0.8659909611
877	0.8659744159
878	0.8659271624
879	0.8659023925
880	0.8658577624
881	0.8658129436
882	0.8657834431
883	0.8657444559
884	0.8657004283
885	0.8656764382
886	0.8656397526
887	0.8656208599
888	0.865562493
889	0.8655227101
890	0.8654910537
891	0.8654622521
892	0.8654185293
893	0.8653714095
894	0.8653317854
895	0.8653175857
896	0.8652595444
897	0.8652186454
898	0.8651888319
899	0.8651490221
900	0.865117887
901	0.8650934671
902	0.8650768114
903	0.8650322459
904	0.8650044994
905	0.8649603173
906	0.8649311115
907	0.8648889064
908	0.8648625251
909	0.864826384
910	0.8647844101
911	0.8647596948
912	0.8647390102
913	0.8646852092
914	0.8646393218
915	0.864596402
916	0.8645561785
917	0.8645345807
918	0.8644887251
919	0.8644379506
920	0.864409014
921	0.8643656632
922	0.864329558
923	0.8642908508
924	0.8642413799
925	0.8642053266
926	0.8641823332
927	0.8641391892
928	0.8641042507
929	0.8640665015
930	0.86403806
931	0.8640001189
932	0.8639558458
933	0.8639185205
934	0.8638788407
935	0.8638556482
936	0.8638227948
937	0.8637704662
938	0.8637223726
939	0.8636921312
940	0.8636689884
941	0.863639924
942	0.8635936783
943	0.8635477816
944	0.8635208292
945	0.8634790922
946	0.8634418499
947	0.8634115795
948	0.8633750209
949	0.8633532627
950	0.8633294485
951	0.8633033534
952	0.863269873
953	0.8632212153
954	0.8631762871
955	0.8631302408
956	0.8630931155
957	0.8630700752
958	0.8630408488
959	0.8629969734
960	0.8629592677
961	0.8629331545
962	0.8628765338
963	0.8628304487
964	0.8627758744
965	0.862741863
966	0.8627067741
967	0.8626594172
968	0.8626180789
969	0.8625954109
970	0.8625749318
971	0.8625485399
972	0.8625272984
973	0.8624881663
974	0.8624277916
975	0.8624044626
976	0.8623676702
977	0.8623440705
978	0.8623206776
979	0.8622878004
980	0.8622393895
981	0.8622068232
982	0.8621744435
983	0.8621462521
984	0.8621186681
985	0.8620800228
986	0.8620236777
987	0.8619995057
988	0.8619470053
989	0.8618968028
990	0.8618580773
991	0.8618221452
992	0.8617654036
993	0.8617412673
994	0.8617177242
995	0.8616810677
996	0.8616579207
997	0.8616107775
998	0.8615634014
999	0.8615377154
